--time	Susceptibles	Exposed	Infected	Recovered	Deaths	
63.129999999996	760304.385238778	387.189533699793	554.095954506044	2838.32823046764	0.00104254938626124	
63.139999999996	760302.912476093	387.377352276932	554.344716218929	2839.36441248483	0.00104292770944893	
63.149999999996	760301.439001857	387.565259105823	554.593631506193	2840.40106422568	0.00104330620249935	
63.159999999996	760299.96481574	387.753254225124	554.842700379686	2841.4381859712	0.00104368486551732	
63.169999999996	760298.48991741	387.941337673508	555.091922851358	2842.47577800244	0.0010440636986077	
63.179999999996	760297.014306535	388.129509489663	555.341298933251	2843.51384060049	0.00104444270187535	
63.189999999996	760295.537982783	388.317769712289	555.590828637506	2844.55237404645	0.00104482187542511	
63.199999999996	760294.060945822	388.506118380101	555.840511976358	2845.59137862147	0.00104520121936186	
63.209999999996	760292.58319532	388.694555531829	556.090348962141	2846.63085460673	0.00104558073379049	
63.219999999996	760291.104730944	388.883081206217	556.34033960728	2847.67080228346	0.00104596041881587	
63.229999999996	760289.625552362	389.071695442022	556.5904839243	2848.71122193287	0.00104634027454291	
63.239999999996	760288.145659241	389.260398278016	556.840781925818	2849.75211383627	0.0010467203010765	
63.249999999996	760286.665051248	389.449189752985	557.09123362455	2850.79347827496	0.00104710049852156	
63.259999999996	760285.183728051	389.63806990573	557.341839033303	2851.83531553028	0.00104748086698302	
63.269999999996	760283.701689316	389.827038775064	557.592598164983	2852.87762588361	0.0010478614065658	
63.279999999996	760282.21893471	390.016096399817	557.84351103259	2853.92040961637	0.00104824211737484	
63.289999999996	760280.7354639	390.205242818831	558.094577649216	2854.96366701	0.00104862299951508	
63.299999999996	760279.251276552	390.394478070963	558.345798028051	2856.00739834598	0.0010490040530915	
63.309999999996	760277.766372333	390.583802195085	558.59717218238	2857.05160390582	0.00104938527820905	
63.319999999996	760276.280750908	390.77321523008	558.84870012558	2858.09628397108	0.0010497666749727	
63.329999999996	760274.794411944	390.96271721485	559.100381871125	2859.14143882334	0.00105014824348744	
63.339999999996	760273.307355106	391.152308188308	559.352217432581	2860.18706874421	0.00105052998385828	
63.349999999996	760271.819580061	391.341988189381	559.604206823609	2861.23317401536	0.00105091189619019	
63.359999999996	760270.331086474	391.531757257011	559.856350057967	2862.27975491846	0.00105129398058821	
63.369999999996	760268.84187401	391.721615430155	560.108647149502	2863.32681173525	0.00105167623715736	
63.379999999996	760267.351942335	391.911562747784	560.361098112158	2864.37434474747	0.00105205866600265	
63.389999999996	760265.861291114	392.101599248881	560.613702959973	2865.42235423693	0.00105244126722914	
63.399999999996	760264.369920012	392.291724972446	560.866461707077	2866.47084048546	0.00105282404094187	
63.409999999996	760262.877828694	392.481939957492	561.119374367696	2867.51980377491	0.00105320698724591	
63.419999999996	760261.385016825	392.672244243046	561.372440956145	2868.5692443872	0.00105359010624631	
63.4299999999959	760259.891484069	392.862637868149	561.625661486838	2869.61916260426	0.00105397339804818	
63.4399999999959	760258.39723009	393.053120871857	561.879035974279	2870.66955870807	0.00105435686275658	
63.4499999999959	760256.902254554	393.24369329324	562.132564433064	2871.72043298063	0.00105474050047663	
63.4599999999959	760255.406557124	393.434355171382	562.386246877885	2872.77178570399	0.00105512431131343	
63.4699999999959	760253.910137464	393.625106545381	562.640083323524	2873.82361716025	0.0010555082953721	
63.4799999999959	760252.412995238	393.815947454351	562.89407378486	2874.87592763151	0.00105589245275777	
63.4899999999959	760250.91513011	394.006877937417	563.148218276859	2875.92871739995	0.00105627678357557	
63.4999999999959	760249.416541744	394.19789803372	563.402516814584	2876.98198674774	0.00105666128793067	
63.5099999999959	760247.917229803	394.389007782416	563.656969413189	2878.03573595714	0.00105704596592822	
63.5199999999959	760246.417193949	394.580207222674	563.91157608792	2879.0899653104	0.00105743081767339	
63.5299999999959	760244.916433848	394.771496393679	564.166336854115	2880.14467508984	0.00105781584327135	
63.5399999999959	760243.414949161	394.962875334626	564.421251727206	2881.1998655778	0.00105820104282732	
63.5499999999959	760241.912739551	395.15434408473	564.676320722715	2882.25553705667	0.00105858641644647	
63.5599999999959	760240.409804681	395.345902683215	564.931543856256	2883.31168980887	0.00105897196423404	
63.5699999999959	760238.906144214	395.537551169324	565.186921143536	2884.36832411686	0.00105935768629523	
63.5799999999959	760237.401757812	395.72928958231	565.442452600353	2885.42544026314	0.00105974358273529	
63.5899999999959	760235.896645137	395.921117961442	565.698138242597	2886.48303853025	0.00106012965365947	
63.5999999999959	760234.390805852	396.113036346004	565.953978086249	2887.54111920077	0.001060515899173	
63.6099999999959	760232.884239619	396.305044775294	566.209972147381	2888.59968255731	0.00106090231938117	
63.6199999999959	760231.376946099	396.497143288623	566.466120442157	2889.65872888252	0.00106128891438926	
63.6299999999959	760229.868924954	396.689331925318	566.722422986833	2890.71825845911	0.00106167568430254	
63.6399999999959	760228.360175846	396.881610724718	566.978879797754	2891.7782715698	0.00106206262922632	
63.6499999999959	760226.850698437	397.073979726178	567.235490891357	2892.83876849738	0.00106244974926591	
63.6599999999959	760225.340492386	397.266438969067	567.49225628417	2893.89974952464	0.00106283704452663	
63.6699999999959	760223.829557357	397.458988492768	567.749175992811	2894.96121493445	0.00106322451511383	
63.6799999999959	760222.317893009	397.651628336679	568.00625003399	2896.02316500971	0.00106361216113283	
63.6899999999959	760220.805499003	397.84435854021	568.263478424507	2897.08560003333	0.001063999982689	
63.6999999999959	760219.292375001	398.037179142789	568.52086118125	2898.1485202883	0.00106438797988771	
63.7099999999959	760217.778520662	398.230090183855	568.778398321201	2899.21192605763	0.00106477615283434	
63.7199999999959	760216.263935648	398.423091702862	569.036089861431	2900.27581762438	0.00106516450163428	
63.7299999999959	760214.748619618	398.616183739279	569.2939358191	2901.34019527164	0.00106555302639292	
63.7399999999959	760213.232572233	398.80936633259	569.551936211458	2902.40505928255	0.00106594172721569	
63.7499999999959	760211.715793152	399.002639522291	569.810091055846	2903.47040994029	0.00106633060420802	
63.7599999999959	760210.198282036	399.196003347893	570.068400369694	2904.53624752807	0.00106671965747533	
63.7699999999959	760208.680038544	399.389457848924	570.326864170523	2905.60257232917	0.00106710888712308	
63.7799999999959	760207.161062335	399.583003064922	570.585482475942	2906.66938462687	0.00106749829325674	
63.7899999999959	760205.64135307	399.776639035442	570.84425530365	2907.73668470452	0.00106788787598177	
63.7999999999959	760204.120910407	399.970365800053	571.103182671435	2908.80447284552	0.00106827763540367	
63.8099999999959	760202.599734005	400.164183398338	571.362264597176	2909.87274933328	0.00106866757162793	
63.8199999999959	760201.077823523	400.358091869894	571.621501098837	2910.94151445128	0.00106905768476006	
63.8299999999959	760199.555178621	400.552091254332	571.880892194477	2912.01076848304	0.00106944797490559	
63.8399999999959	760198.031798957	400.746181591279	572.140437902238	2913.0805117121	0.00106983844217005	
63.8499999999959	760196.507684189	400.940362920374	572.400138240356	2914.15074442206	0.00107022908665899	
63.8599999999959	760194.982833976	401.134635281271	572.659993227152	2915.22146689657	0.00107061990847797	
63.8699999999959	760193.457247976	401.328998713641	572.920002881037	2916.29267941931	0.00107101090773256	
63.8799999999959	760191.930925847	401.523453257165	573.180167220511	2917.364382274	0.00107140208452835	
63.8899999999959	760190.403867248	401.717998951541	573.440486264161	2918.43657574442	0.00107179343897094	
63.8999999999959	760188.876071835	401.912635836481	573.700960030665	2919.50926011437	0.00107218497116593	
63.9099999999959	760187.347539266	402.10736395171	573.961588538786	2920.58243566773	0.00107257668121896	
63.9199999999959	760185.8182692	402.302183336969	574.222371807376	2921.65610268837	0.00107296856923565	
63.9299999999959	760184.288261293	402.497094032012	574.483309855378	2922.73026146026	0.00107336063532166	
63.9399999999958	760182.757515203	402.692096076609	574.744402701819	2923.80491226738	0.00107375287958265	
63.9499999999958	760181.226030586	402.887189510542	575.005650365815	2924.88005539376	0.0010741453021243	
63.9599999999958	760179.6938071	403.08237437361	575.267052866571	2925.95569112347	0.00107453790305229	
63.9699999999958	760178.160844401	403.277650705623	575.528610223379	2927.03181974065	0.00107493068247232	
63.9799999999958	760176.627142146	403.473018546409	575.790322455617	2928.10844152945	0.00107532364049011	
63.9899999999958	760175.092699992	403.668477935807	576.052189582752	2929.18555677409	0.0010757167772114	
63.9999999999958	760173.557517595	403.864028913672	576.314211624338	2930.26316575882	0.00107611009274191	
64.0099999999958	760172.02159461	404.059671519874	576.576388600016	2931.34126876795	0.0010765035871874	
